"key","page_or_section","english","es-419","pt-BR","review_flag","human_review_status"
"landing.reportItems[0]","landing / reportItems","Visible conditioning","Acondicionamiento visible","Condicionamento visível","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.reportItems[1]","landing / reportItems","Muscularity","Muscularidad","Muscularidade","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.reportItems[2]","landing / reportItems","Symmetry and proportions","Simetría y proporciones","Simetria e proporções","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.reportItems[3]","landing / reportItems","Presentation","Presentación","Apresentação","STANDARD_LANGUAGE_REVIEW","PENDING"
"landing.reportItems[4]","landing / reportItems","Division alignment","Alineación con la división","Alinhamento com a divisão","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.reportItems[5]","landing / reportItems","Visual body-fat range","Rango visual de grasa corporal","Faixa visual de gordura corporal","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.introCards[0].label","landing / introCards","Preparing for a show?","¿Te preparas para competir?","Está se preparando para competir?","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.introCards[0].title","landing / introCards","Competition Prep","Preparación competitiva","Preparação para competição","PHYSIQUE_TERMINOLOGY_REVIEW|SEO_REVIEW","PENDING"
"landing.introCards[0].body","landing / introCards","See how your visible conditioning and physique align with your selected division and current prep timeline.","Observa cómo se alinean tu acondicionamiento visible y tu físico con la división seleccionada y tu etapa actual de preparación.","Veja como seu condicionamento visível e seu físico se alinham à divisão escolhida e ao momento atual da preparação.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.introCards[1].label","landing / introCards","Just curious?","¿Solo tienes curiosidad?","Só está curioso?","STANDARD_LANGUAGE_REVIEW","PENDING"
"landing.introCards[1].title","landing / introCards","Physique Check","Evaluación de físico","Avaliação de físico","PHYSIQUE_TERMINOLOGY_REVIEW|SEO_REVIEW","PENDING"
"landing.introCards[1].body","landing / introCards","See how close your current physique looks to competition-level conditioning without needing a show date.","Descubre qué tan cerca luce tu físico actual del acondicionamiento típico de competencia sin necesitar una fecha de evento.","Veja o quanto seu físico atual parece próximo do condicionamento típico de competição sem precisar de uma data de campeonato.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.introCards[2].label","landing / introCards","Secure checkout","Pago seguro","Pagamento seguro","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"landing.introCards[2].title","landing / introCards","Pay once through Stripe.","Paga una sola vez con Stripe.","Pague uma vez pelo Stripe.","COMMERCE_OR_PROVIDER_REVIEW|SEO_REVIEW","PENDING"
"landing.introCards[2].body","landing / introCards","The $0.99 USD payment is non-recurring and covers one successfully completed website analysis.","El pago no recurrente de $0.99 USD cubre un análisis web completado correctamente.","O pagamento não recorrente de $0.99 USD cobre uma análise concluída com sucesso no site.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"landing.demoTitle","landing / demoTitle","See How It Works","Mira cómo funciona","Veja como funciona","SEO_REVIEW","PENDING"
"landing.demoBody","landing / demoBody","Watch a quick walkthrough of the StageLab Visual Analysis before getting yours.","Mira un recorrido breve de StageLab Visual Analysis antes de obtener el tuyo.","Assista a uma demonstração rápida do StageLab Visual Analysis antes de receber o seu.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.demoIframeTitle","landing / demoIframeTitle","StageLab Visual Analysis walkthrough","Recorrido de StageLab Visual Analysis","Demonstração do StageLab Visual Analysis","PHYSIQUE_TERMINOLOGY_REVIEW|SEO_REVIEW","PENDING"
"landing.beforeCheckout","landing / beforeCheckout","Before checkout","Antes del pago","Antes do pagamento","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"landing.uploadAfterCheckout","landing / uploadAfterCheckout","You'll upload 3-5 current physique photos after checkout.","Subirás de 3 a 5 fotos actuales de tu físico después del pago.","Você enviará de 3 a 5 fotos atuais do físico depois do pagamento.","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"landing.uploadExplanation","landing / uploadExplanation","Clear front, back, and side views in consistent lighting work best. This analysis uses only the photos submitted for this purchase. It does not retrieve previous StageLab check-ins or compare changes over time.","Las vistas claras de frente, espalda y perfil, con iluminación uniforme, funcionan mejor. Este análisis usa únicamente las fotos enviadas para esta compra. No recupera check-ins anteriores de StageLab ni compara cambios a lo largo del tiempo.","Fotos nítidas de frente, costas e perfil, com iluminação uniforme, funcionam melhor. Esta análise usa somente as fotos enviadas para esta compra. Ela não recupera check-ins anteriores do StageLab nem compara mudanças ao longo do tempo.","LEGAL_OR_CONSENT_REVIEW|PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.photoPrivacyTitle","landing / photoPrivacyTitle","Your photos are used only for this analysis.","Tus fotos se usan únicamente para este análisis.","Suas fotos são usadas somente para esta análise.","LEGAL_OR_CONSENT_REVIEW|SEO_REVIEW","PENDING"
"landing.photoPrivacyBody","landing / photoPrivacyBody","They are sent securely to the AI service for processing and then discarded. ElevareFit never stores them or creates a photo history. Your optional context and structured report remain available for up to 72 hours and are then removed.","Se envían de forma segura al servicio de IA para su procesamiento y luego se descartan. ElevareFit nunca las almacena ni crea un historial de fotos. Tu contexto opcional y el informe estructurado permanecen disponibles hasta 72 horas y después se eliminan.","Elas são enviadas com segurança ao serviço de IA para processamento e depois descartadas. A ElevareFit nunca as armazena nem cria um histórico de fotos. Seu contexto opcional e o relatório estruturado ficam disponíveis por até 72 horas e depois são removidos.","LEGAL_OR_CONSENT_REVIEW","PENDING"
"landing.accessTitle","landing / accessTitle","Keep access to your result.","Conserva el acceso a tu resultado.","Mantenha o acesso ao seu resultado.","SEO_REVIEW","PENDING"
"landing.accessBody","landing / accessBody","Your result is available for 72 hours on the same browser and device used for checkout. Do not clear your browser cookies until you are finished viewing it.","Tu resultado está disponible durante 72 horas en el mismo navegador y dispositivo usados para el pago. No borres las cookies del navegador hasta terminar de verlo.","Seu resultado fica disponível por 72 horas no mesmo navegador e dispositivo usados no pagamento. Não limpe os cookies do navegador até terminar de consultar o resultado.","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"landing.preparingCheckout","landing / preparingCheckout","Preparing checkout...","Preparando el pago...","Preparando o pagamento...","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"landing.faqEyebrow","landing / faqEyebrow","Frequently asked questions","Preguntas frecuentes","Perguntas frequentes","STANDARD_LANGUAGE_REVIEW","PENDING"
"landing.faqTitle","landing / faqTitle","Before you start","Antes de comenzar","Antes de começar","SEO_REVIEW","PENDING"
"landing.faqs[0].question","landing / faqs","What does StageLab Quick Analysis assess?","¿Qué evalúa StageLab Quick Analysis?","O que o StageLab Quick Analysis avalia?","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.faqs[0].answer","landing / faqs","Choose Competition Prep for a timeline-aware prep snapshot or Physique Check to compare your current look with competition-level visual standards. Both assess visible conditioning, muscularity, symmetry and proportions, presentation, division alignment, and a conservative visual body-fat range.","Elige Preparación competitiva para obtener una lectura de tu preparación con contexto temporal, o Evaluación de físico para comparar tu aspecto actual con estándares visuales de competencia. Ambas opciones evalúan el acondicionamiento visible, la muscularidad, la simetría y las proporciones, la presentación, la alineación con la división y un rango visual conservador de grasa corporal.","Escolha Preparação para competição para uma avaliação com contexto do cronograma ou Avaliação de físico para comparar sua aparência atual com padrões visuais de competição. As duas opções avaliam condicionamento visível, muscularidade, simetria e proporções, apresentação, alinhamento com a divisão e uma faixa visual conservadora de gordura corporal.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.faqs[1].question","landing / faqs","Are my photos or analysis details saved?","¿Se guardan mis fotos o los datos del análisis?","Minhas fotos ou informações da análise ficam salvas?","STANDARD_LANGUAGE_REVIEW","PENDING"
"landing.faqs[1].answer","landing / faqs","Your photos are used only to generate the requested analysis. ElevareFit sends them securely to the AI service for transient processing and never stores them. Your optional context and structured report remain available for up to 72 hours and are then removed; limited payment and operational records are retained.","Tus fotos se usan únicamente para generar el análisis solicitado. ElevareFit las envía de forma segura al servicio de IA para un procesamiento transitorio y nunca las almacena. Tu contexto opcional y el informe estructurado permanecen disponibles hasta 72 horas y después se eliminan; se conservan registros limitados de pago y operación.","Suas fotos são usadas somente para gerar a análise solicitada. A ElevareFit as envia com segurança ao serviço de IA para processamento temporário e nunca as armazena. Seu contexto opcional e o relatório estruturado ficam disponíveis por até 72 horas e depois são removidos; registros limitados de pagamento e operação são mantidos.","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"landing.faqs[2].question","landing / faqs","What photos work best?","¿Qué fotos funcionan mejor?","Quais fotos funcionam melhor?","STANDARD_LANGUAGE_REVIEW","PENDING"
"landing.faqs[2].answer","landing / faqs","Use three to five current physique photos with clear front, side, and back views, consistent lighting, a stable camera angle, and minimal obstruction.","Usa de tres a cinco fotos actuales de tu físico con vistas claras de frente, perfil y espalda, iluminación uniforme, un ángulo estable y la menor obstrucción posible.","Use de três a cinco fotos atuais do físico com vistas nítidas de frente, perfil e costas, iluminação uniforme, ângulo estável e pouca obstrução.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.faqs[3].question","landing / faqs","Do I need a StageLab account?","¿Necesito una cuenta de StageLab?","Preciso de uma conta no StageLab?","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.faqs[3].answer","landing / faqs","No. The $0.99 USD purchase provides one website analysis and does not create an account, subscription, app credit, or mobile entitlement.","No. La compra de $0.99 USD incluye un análisis web y no crea una cuenta, suscripción, crédito en la app ni beneficio móvil.","Não. A compra de $0.99 USD inclui uma análise no site e não cria conta, assinatura, crédito no app ou benefício móvel.","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"landing.faqs[4].question","landing / faqs","How do I reopen my result without an account?","¿Cómo vuelvo a abrir mi resultado sin una cuenta?","Como reabro meu resultado sem uma conta?","STANDARD_LANGUAGE_REVIEW","PENDING"
"landing.faqs[4].answer","landing / faqs","Your result is available for 72 hours in the same browser and on the same device used for checkout. Return to the Quick Analysis result page during that time. Clearing browser cookies, switching devices, or using a different private browsing session will prevent access.","Tu resultado está disponible durante 72 horas en el mismo navegador y dispositivo usados para el pago. Vuelve a la página de resultados de Quick Analysis durante ese periodo. Si borras las cookies, cambias de dispositivo o usas otra sesión privada, perderás el acceso.","Seu resultado fica disponível por 72 horas no mesmo navegador e dispositivo usados no pagamento. Volte à página de resultados do Quick Analysis nesse período. Limpar os cookies, trocar de dispositivo ou usar outra sessão de navegação privada impedirá o acesso.","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"landing.faqs[5].question","landing / faqs","What does the Stage Readiness score mean?","¿Qué significa la puntuación Stage Readiness?","O que significa a pontuação Stage Readiness?","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.faqs[5].answer","landing / faqs","In Physique Check, Stage Readiness summarizes visible conditioning, muscularity, symmetry, and presentation against typical competition-level markers. It is not an official judging score and does not predict placement or competition outcomes.","En Evaluación de físico, Stage Readiness resume el acondicionamiento visible, la muscularidad, la simetría y la presentación frente a marcadores típicos de competencia. No es una puntuación oficial de jueces ni predice posiciones o resultados competitivos.","Na Avaliação de físico, Stage Readiness resume o condicionamento visível, a muscularidade, a simetria e a apresentação em relação a marcadores típicos de competição. Não é uma pontuação oficial de arbitragem e não prevê colocação ou resultados de competição.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.faqs[6].question","landing / faqs","Is this medical or official judging advice?","¿Es asesoría médica o una evaluación oficial de jueces?","Isso é orientação médica ou avaliação oficial de arbitragem?","LEGAL_OR_CONSENT_REVIEW","PENDING"
"landing.faqs[6].answer","landing / faqs","No. Quick Analysis is visual fitness and physique information only. It is not medical advice, an exact body-fat measurement, official judging, or a guarantee of competition outcomes.","No. Quick Analysis ofrece únicamente información visual sobre fitness y físico. No es asesoría médica, una medición exacta de grasa corporal, una evaluación oficial de jueces ni una garantía de resultados competitivos.","Não. O Quick Analysis fornece somente informações visuais sobre fitness e físico. Não é orientação médica, medição exata de gordura corporal, avaliação oficial de arbitragem ou garantia de resultados em competição.","LEGAL_OR_CONSENT_REVIEW|PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"checkout.securePayment","checkout / securePayment","Secure payment","Pago seguro","Pagamento seguro","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.completePurchase","checkout / completePurchase","Complete your one-time purchase.","Completa tu compra única.","Conclua sua compra única.","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.oneTime","checkout / oneTime","one time","pago único","pagamento único","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.backToDetails","checkout / backToDetails","Back to analysis details","Volver a los detalles del análisis","Voltar aos detalhes da análise","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.reportLanguageFallback","checkout / reportLanguageFallback","This report will be generated in English because localized report generation is not enabled yet. The payment and analysis remain the same.","Este informe se generará en inglés porque la generación localizada aún no está habilitada. El pago y el análisis siguen siendo los mismos.","Este relatório será gerado em inglês porque a geração localizada ainda não está habilitada. O pagamento e a análise continuam os mesmos.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.snapshot","checkout / snapshot","Your snapshot","Tu evaluación","Sua avaliação","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.setContext","checkout / setContext","Set the context for your analysis.","Agrega el contexto de tu análisis.","Defina o contexto da sua análise.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.assessQuestion","checkout / assessQuestion","What do you want to assess?","¿Qué quieres evaluar?","O que você quer avaliar?","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.competitionPrep","checkout / competitionPrep","Competition Prep","Preparación competitiva","Preparação para competição","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.competitionPrepDescription","checkout / competitionPrepDescription","I'm preparing for a bodybuilding or physique competition.","Me estoy preparando para una competencia de fisicoculturismo o físico.","Estou me preparando para uma competição de fisiculturismo ou físico.","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW|SEO_REVIEW","PENDING"
"checkout.physiqueCheck","checkout / physiqueCheck","Physique Check","Evaluación de físico","Avaliação de físico","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.physiqueCheckDescription","checkout / physiqueCheckDescription","I'm not currently competing. I want to compare my physique with competition-level conditioning.","No estoy compitiendo actualmente. Quiero comparar mi físico con el acondicionamiento típico de competencia.","Não estou competindo no momento. Quero comparar meu físico com o condicionamento típico de competição.","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW|SEO_REVIEW","PENDING"
"checkout.comparisonStandard","checkout / comparisonStandard","Comparison standard","Estándar de comparación","Padrão de comparação","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.competitionDivision","checkout / competitionDivision","Competition division","División competitiva","Divisão da competição","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.divisionOrStandard","checkout / divisionOrStandard","Division or comparison standard","División o estándar de comparación","Divisão ou padrão de comparação","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.selectDivision","checkout / selectDivision","Select a division","Selecciona una división","Selecione uma divisão","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.preparingQuestion","checkout / preparingQuestion","Are you preparing for a competition?","¿Te estás preparando para una competencia?","Você está se preparando para uma competição?","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.yes","checkout / yes","Yes","Sí","Sim","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.snapshotOnly","checkout / snapshotOnly","No / snapshot assessment only","No / solo una evaluación actual","Não / somente avaliação atual","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.weeksOut","checkout / weeksOut","Weeks out","Semanas para competir","Semanas para a competição","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.optionalContextLabel","checkout / optionalContextLabel","Anything you'd like StageLab to consider?","¿Hay algo que quieras que StageLab considere?","Há algo que você gostaria que o StageLab considerasse?","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.optional","checkout / optional","Optional","Opcional","Opcional","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.physiqueContextPlaceholder","checkout / physiqueContextPlaceholder","Brief posing or physique context only. Do not include medical history.","Incluye solo un contexto breve sobre poses o físico. No incluyas historial médico.","Inclua apenas um breve contexto sobre poses ou físico. Não inclua histórico médico.","LEGAL_OR_CONSENT_REVIEW|PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.prepContextPlaceholder","checkout / prepContextPlaceholder","Brief posing or timeline context only. Do not include medical history.","Incluye solo un contexto breve sobre poses o cronograma. No incluyas historial médico.","Inclua apenas um breve contexto sobre poses ou cronograma. Não inclua histórico médico.","LEGAL_OR_CONSENT_REVIEW|PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.contextRetention","checkout / contextRetention","Used only for this analysis and removed when your 72-hour result expires.","Se usa únicamente para este análisis y se elimina cuando vence tu resultado de 72 horas.","Usado somente para esta análise e removido quando o resultado de 72 horas expira.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.characters","checkout / characters","characters","caracteres","caracteres","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.ageConsent","checkout / ageConsent","I confirm that I am at least 18 years old.","Confirmo que tengo al menos 18 años.","Confirmo que tenho pelo menos 18 anos.","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.aiConsentBefore","checkout / aiConsentBefore","I understand that my photos and optional context will be used only to generate this one-time analysis. ElevareFit never stores the photos; they are discarded after AI processing. My optional context and structured report are removed after 72 hours. See the ","Entiendo que mis fotos y mi contexto opcional se usarán únicamente para generar este análisis único. ElevareFit nunca almacena las fotos; se descartan después del procesamiento con IA. Mi contexto opcional y el informe estructurado se eliminan después de 72 horas. Consulta la ","Entendo que minhas fotos e meu contexto opcional serão usados somente para gerar esta análise única. A ElevareFit nunca armazena as fotos; elas são descartadas após o processamento pela IA. Meu contexto opcional e o relatório estruturado são removidos depois de 72 horas. Consulte a ","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.privacyPolicy","checkout / privacyPolicy","Privacy Policy","Política de privacidad","Política de Privacidade","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.aiConsentAfter","checkout / aiConsentAfter","."," (en inglés)."," (em inglês).","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.loadingPayment","checkout / loadingPayment","Loading secure payment...","Cargando el pago seguro...","Carregando o pagamento seguro...","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.purchaseButton","checkout / purchaseButton","Get My Quick Analysis","Obtener mi Quick Analysis","Receber meu Quick Analysis","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.purchaseTermsBefore","checkout / purchaseTermsBefore","No subscription, automatic renewal, StageLab app credit, or mobile entitlement. By continuing, you agree to the ","Sin suscripción, renovación automática, crédito de la app StageLab ni beneficio móvil. Al continuar, aceptas los ","Sem assinatura, renovação automática, crédito no app StageLab ou benefício móvel. Ao continuar, você concorda com os ","LEGAL_OR_CONSENT_REVIEW|PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.termsOfService","checkout / termsOfService","Terms of Service","Términos de servicio (en inglés)","Termos de Serviço (em inglês)","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.validation.mode","checkout / validation","Choose Competition Prep or Physique Check.","Elige Preparación competitiva o Evaluación de físico.","Escolha Preparação para competição ou Avaliação de físico.","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.validation.division","checkout / validation","Select a division or comparison standard.","Selecciona una división o estándar de comparación.","Selecione uma divisão ou padrão de comparação.","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.validation.weeks","checkout / validation","Enter a whole number from 0 to 60.","Ingresa un número entero de 0 a 60.","Digite um número inteiro de 0 a 60.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.validation.age","checkout / validation","Confirm that you are at least 18 years old.","Confirma que tienes al menos 18 años.","Confirme que você tem pelo menos 18 anos.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.validation.ai","checkout / validation","Confirm AI processing before continuing.","Confirma el procesamiento con IA antes de continuar.","Confirme o processamento por IA antes de continuar.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.validation.review","checkout / validation","Review the highlighted fields below.","Revisa los campos resaltados.","Revise os campos destacados.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.paymentCancelled","checkout / paymentCancelled","Checkout was canceled. You have not been charged.","El pago se canceló. No se realizó ningún cargo.","O pagamento foi cancelado. Nenhuma cobrança foi feita.","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.paymentVerificationFailed","checkout / paymentVerificationFailed","We could not verify that payment. If you were charged, contact support so we can help.","No pudimos verificar el pago. Si recibiste un cargo, comunícate con soporte para que podamos ayudarte.","Não foi possível verificar o pagamento. Se houve cobrança, entre em contato com o suporte para que possamos ajudar.","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.paymentUnavailable","checkout / paymentUnavailable","Secure payment is temporarily unavailable. Please try again later.","El pago seguro no está disponible temporalmente. Inténtalo de nuevo más tarde.","O pagamento seguro está temporariamente indisponível. Tente novamente mais tarde.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"checkout.checkoutFailed","checkout / checkoutFailed","Checkout could not be started. Please try again.","No se pudo iniciar el pago. Inténtalo de nuevo.","Não foi possível iniciar o pagamento. Tente novamente.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"returnLink.ariaLabel","returnLink / ariaLabel","Recent Quick Analysis","Quick Analysis reciente","Quick Analysis recente","STANDARD_LANGUAGE_REVIEW","PENDING"
"returnLink.completedTitle","returnLink / completedTitle","Your recent result is still available.","Tu resultado reciente aún está disponible.","Seu resultado recente ainda está disponível.","SEO_REVIEW","PENDING"
"returnLink.inProgressTitle","returnLink / inProgressTitle","You have an analysis in progress.","Tienes un análisis en curso.","Você tem uma análise em andamento.","SEO_REVIEW","PENDING"
"returnLink.body","returnLink / body","Open it from this browser and device during the 72-hour access period.","Ábrelo desde este navegador y dispositivo durante el periodo de acceso de 72 horas.","Abra-a neste navegador e dispositivo durante o período de acesso de 72 horas.","STANDARD_LANGUAGE_REVIEW","PENDING"
"returnLink.view","returnLink / view","View my recent analysis","Ver mi análisis reciente","Ver minha análise recente","STANDARD_LANGUAGE_REVIEW","PENDING"
"returnLink.check","returnLink / check","Check analysis status","Consultar el estado del análisis","Verificar status da análise","STANDARD_LANGUAGE_REVIEW","PENDING"
"returnLink.continue","returnLink / continue","Continue my analysis","Continuar mi análisis","Continuar minha análise","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.seoTitle","result / seoTitle","Your StageLab Quick Analysis","Tu StageLab Quick Analysis","Seu StageLab Quick Analysis","PHYSIQUE_TERMINOLOGY_REVIEW|SEO_REVIEW","PENDING"
"result.seoDescription","result / seoDescription","Securely upload current physique photos and view your one-time StageLab Quick Analysis result.","Sube fotos actuales de tu físico de forma segura y consulta el resultado de tu StageLab Quick Analysis único.","Envie fotos atuais do físico com segurança e veja o resultado do seu StageLab Quick Analysis único.","PHYSIQUE_TERMINOLOGY_REVIEW|SEO_REVIEW","PENDING"
"result.opening","result / opening","Opening your analysis...","Abriendo tu análisis...","Abrindo sua análise...","STANDARD_LANGUAGE_REVIEW","PENDING"
